City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
262,hammerfest,70.6634,23.6821,0.25,80,0,4.63,NO,1697094679
263,punta arenas,-53.15,-70.9167,6.06,75,75,11.83,CL,1697094622
264,callao,-12.0667,-77.15,18.73,77,75,1.54,PE,1697094679
265,el calafate,-50.3408,-72.2768,2.0,70,78,4.3,AR,1697094679
266,kodinsk,58.6881,99.1844,13.02,64,100,7.59,RU,1697094680
267,mount isa,-20.7333,139.5,34.87,16,37,2.57,AU,1697094680
268,sao joao do paraiso,-15.3136,-42.0144,16.19,93,1,1.66,BR,1697094680
269,yuzawa,39.1667,140.5,16.01,64,70,3.21,JP,1697094680
270,labrador city,52.9463,-66.9114,6.95,100,100,1.54,CA,1697094680
271,golpayegan,33.4537,50.2884,24.82,22,59,8.4,IR,1697094681
272,san patricio,28.017,-97.5169,23.92,93,1,2.52,US,1697094681
273,saint-denis,48.9167,2.3333,17.45,80,75,4.63,FR,1697094681
274,kingston,17.997,-76.7936,25.13,87,86,0.45,JM,1697094429
275,dompu,-8.5356,118.4622,32.4,48,73,1.44,ID,1697094681
276,fall river,41.7015,-71.1551,12.22,83,100,0.0,US,1697094682
277,saint-francois,46.4154,3.9054,14.8,100,0,1.54,FR,1697094682
278,barra de santo antonio,-9.4047,-35.5072,21.6,85,18,2.08,BR,1697094682
279,kununurra,-15.7667,128.7333,37.99,28,92,5.14,AU,1697094683
280,padang,-0.9492,100.3543,28.03,84,99,2.44,ID,1697094445
281,brookings,44.3114,-96.7984,10.1,71,0,5.14,US,1697094513
282,touros,-5.1989,-35.4608,24.85,83,15,5.92,BR,1697094683
283,kuhmo,64.1333,29.5167,3.79,85,100,8.56,FI,1697094683
284,crane,31.3974,-102.3501,19.78,81,0,9.09,US,1697094416
285,snyder,32.7179,-100.9176,20.19,73,0,7.2,US,1697094684
286,alofi,-19.0595,-169.9187,23.53,79,82,6.63,NU,1697094684
287,buka,40.8108,69.1986,27.01,18,99,4.15,UZ,1697094547
288,slave lake,55.2834,-114.769,7.76,80,57,0.98,CA,1697094684
289,labuan,5.2767,115.2417,28.73,72,100,2.27,MY,1697094685
290,cheonan,36.8065,127.1522,22.8,47,97,1.63,KR,1697094685
291,guaratinga,-16.5667,-39.5667,18.26,97,9,0.89,BR,1697094686
292,keflavik,64.0049,-22.5624,3.95,93,100,11.32,IS,1697094686
293,ghazni,33.5536,68.4269,22.93,12,0,1.38,AF,1697094687
294,atafu village,-8.5421,-172.5159,28.34,76,100,5.97,TK,1697094688
295,muborak,39.2553,65.1528,25.3,20,19,4.99,UZ,1697094688
296,al ghayzah,16.2079,52.176,29.24,56,0,3.95,YE,1697094689
297,lebu,-37.6167,-73.65,8.3,81,8,8.69,CL,1697094689
298,berdigestyakh,62.0989,126.6992,5.72,63,100,4.92,RU,1697094689
299,olean,42.0776,-78.4297,6.32,100,100,0.0,US,1697094689
300,duyun,26.2667,107.5167,18.8,80,100,1.6,CN,1697094655
301,sydney,-33.8679,151.2073,32.75,18,8,1.79,AU,1697094251
302,diamantino,-14.4086,-56.4461,25.79,59,100,1.15,BR,1697094693
303,ulladulla,-35.35,150.4667,22.65,53,62,10.43,AU,1697094693
304,afyonkarahisar,38.75,30.6667,13.35,55,0,3.58,TR,1697094693
305,zyryanskoye,56.8306,86.6258,9.83,46,100,5.32,RU,1697094694
306,saint-philippe,-21.3585,55.7679,26.77,65,100,1.26,RE,1697094694
307,kuala lipis,4.1842,102.0468,33.34,52,39,1.46,MY,1697094694
308,udachny,66.4167,112.4,1.36,74,100,5.4,RU,1697094694
309,baissa,7.2333,10.6333,24.48,92,41,0.66,NG,1697094695
310,eraan,9.0629,117.7016,28.96,75,92,1.88,PH,1697094695
311,goderich,43.7501,-81.7165,7.73,93,9,2.57,CA,1697094695
312,punta cardon,11.6581,-70.215,28.29,80,38,9.42,VE,1697094695
313,sendafa,9.15,39.0333,19.64,56,37,4.0,ET,1697094695
314,tarfaya,27.9358,-12.9218,21.13,86,91,5.2,MA,1697094460
315,dunaujvaros,46.9833,18.9333,17.25,52,6,3.78,HU,1697094696
316,tovarkovo,54.6762,35.9386,9.24,62,100,8.96,RU,1697094696
317,tshikapa,-6.4167,20.8,28.58,60,83,1.15,CD,1697094697
318,hillview,38.0698,-85.6855,14.28,79,20,2.06,US,1697094697
319,kuqa,41.7278,82.9364,22.4,26,0,1.8,CN,1697094697
320,fyodorovka,53.6314,62.7078,6.07,59,9,4.96,KZ,1697094697
321,nishinoomote,30.7333,131.0,22.84,65,0,9.21,JP,1697094698
322,juneau,58.3019,-134.4197,7.34,100,40,0.0,US,1697094698
323,coxim,-18.5067,-54.76,28.12,59,100,0.21,BR,1697094523
324,holualoa,19.6228,-155.9522,24.91,83,75,2.57,US,1697094595
325,uturoa,-16.7333,-151.4333,26.34,78,18,8.77,PF,1697094698
326,savalou,7.9281,1.9756,24.42,92,95,1.21,BJ,1697094699
327,vadso,70.0744,29.7487,4.09,70,75,11.83,NO,1697094699
328,kolyshley,52.7005,44.5367,5.74,43,100,9.8,RU,1697094699
329,chonchi,-42.6128,-73.8092,6.18,76,96,2.85,CL,1697094699
330,vorgashor,67.5833,63.95,0.62,78,83,2.49,RU,1697094699
331,fort st. john,56.2499,-120.8529,7.27,85,100,0.45,CA,1697094658
332,ceeldheer,3.8488,47.1806,29.61,63,14,3.81,SO,1697094700
333,hassi messaoud,31.6804,6.0729,21.3,45,0,4.33,DZ,1697094700
334,berezovo,63.9381,65.0419,-0.02,84,100,0.89,RU,1697094700
335,severo-yeniseyskiy,60.3725,93.0408,3.65,91,100,6.26,RU,1697094700
336,idabel,33.8957,-94.8263,14.97,100,75,2.57,US,1697094546
337,cururupu,-1.8283,-44.8683,24.29,86,33,1.91,BR,1697094667
338,saudarkrokur,65.7461,-19.6394,1.69,70,100,4.62,IS,1697094701
339,khandyga,62.6667,135.6,0.13,98,100,1.13,RU,1697094701
340,asau,46.4333,26.4,10.71,59,7,2.49,RO,1697094702
341,richards bay,-28.783,32.0377,24.06,73,100,2.45,ZA,1697094562
342,tsiombe,-25.3,45.4833,26.92,52,12,6.34,MG,1697094440
343,kalispell,48.1958,-114.3129,7.31,97,100,0.0,US,1697094702
344,arteche,12.2645,125.4048,29.91,67,100,3.02,PH,1697094702
345,bratsk,56.1325,101.6142,20.46,39,49,5.13,RU,1697094703
346,rozhyshche,50.9154,25.2691,17.42,77,100,8.43,UA,1697094703
347,contai,21.7786,87.7536,31.93,60,0,1.81,IN,1697094703
348,bonthe,7.5264,-12.505,24.56,90,100,1.48,SL,1697094703
349,lycksele,64.5954,18.6735,-0.07,100,75,2.06,SE,1697094703
350,sur,22.5667,59.5289,34.58,37,1,1.34,OM,1697094704
351,zyrya,40.3661,50.2917,13.05,51,16,13.55,AZ,1697094704
352,colonia,50.9333,6.95,16.65,84,40,3.6,DE,1697094704
353,zaozersk,69.4005,32.4476,1.9,98,100,14.02,RU,1697094704
354,gaiman,-43.2897,-65.4929,9.67,35,1,4.31,AR,1697094704
355,nova vicosa,-17.8919,-39.3719,21.69,85,14,3.05,BR,1697094705
356,bodo,67.28,14.405,5.02,88,75,3.09,NO,1697094705
357,verkhnevilyuysk,63.4453,120.3167,6.08,54,100,5.81,RU,1697094705
358,guerrero negro,27.9769,-114.0611,18.7,76,0,6.51,MX,1697094705
359,bandrele,-12.9067,45.1914,30.86,62,0,2.06,YT,1697094706
360,san luis de la loma,17.2706,-100.8939,24.15,84,86,2.13,MX,1697094706
361,marquette,46.5333,-87.6335,5.2,93,10,0.45,US,1697094706
362,leava,-14.3,-178.1667,27.02,84,39,7.53,WF,1697094706
363,olavarria,-36.8927,-60.3225,0.87,70,0,1.16,AR,1697094707
364,coquimbo,-29.9533,-71.3436,10.85,93,0,1.03,CL,1697094013
365,port saint john's,-31.6229,29.5448,21.56,82,100,2.42,ZA,1697094707
